target,setsize,resp,rt,sub,correct
Absent,16,2,3.547775503,4,1
Present,8,1,0.724201202,4,1
Present,16,1,1.359455658,4,1
Present,16,1,1.418377055,4,1
Absent,8,2,1.312445686,4,1
Present,16,1,1.135967214,4,1
Present,8,1,1.830087538,4,1
Present,8,1,2.171299474,4,1
Absent,16,2,2.265382122,4,1
Absent,16,2,2.877186278,4,1
Present,8,1,0.700676349,4,1
Absent,12,2,3.135976472,4,1
Absent,16,2,2.35952643,4,1
Present,8,1,1.830087618,4,1
Present,16,1,1.053615344,4,1
Present,16,1,1.394785537,4,1
Absent,16,2,3.171266388,4,1
Present,12,1,2.100653209,4,1
Absent,8,2,2.441874717,4,1
Present,12,-1,4.994194679,4,0
Absent,12,2,2.359489569,4,1
Present,12,1,1.971271866,4,1
Present,12,1,1.841888541,4,1
Absent,12,2,2.230128664,4,1
Absent,16,2,2.547736101,4,1
Absent,8,2,1.783052091,4,1
Absent,8,2,2.077164094,4,1
Present,8,1,1.147729051,4,1
Absent,8,2,2.171265711,4,1
Present,12,1,2.112461503,4,1
Absent,12,2,2.677154673,4,1
Absent,12,2,2.24186169,4,1
Present,12,1,0.971249113,4,1
Absent,8,2,1.383051752,4,1
Absent,16,2,2.147757711,4,1
Absent,8,2,2.112441341,4,1
Present,8,1,1.465372246,4,1
Absent,8,2,2.135954583,4,1
Present,16,1,1.794802411,4,1
Present,12,1,1.018291703,4,1
Present,8,1,1.324207736,4,1
Absent,12,2,2.041853439,4,1
Absent,16,2,1.959482622,4,1
Present,16,1,1.853624802,4,1
Absent,12,2,1.971281357,4,1
Absent,12,2,2.383043251,4,1
Present,8,1,0.712462054,4,1
Absent,16,2,2.277164713,4,1
Absent,8,2,2.371287766,4,1
Present,12,1,1.041815689,4,1
Present,16,1,2.182998697,4,1
Present,12,1,1.994849164,4,1
Present,8,1,0.841892821,4,1
Present,16,1,2.618363186,4,1
Absent,12,2,2.20655786,4,1
Absent,8,2,2.041829806,4,1
Present,8,1,1.665405508,4,1
Absent,16,2,2.547719527,4,1
Absent,16,2,2.936007451,4,1
Present,16,1,2.300656545,4,1
Present,12,1,0.688871928,4,1
Absent,12,2,2.20654978,4,1
Present,8,1,1.724200661,4,1
Absent,16,2,1.912434927,4,1
Present,12,1,1.418326819,4,1
Absent,12,2,1.830109018,4,1
Present,16,1,1.688953826,4,1
Absent,8,2,1.324200543,4,1
Present,8,1,1.312447573,4,1
Present,16,1,1.453621165,4,1
Absent,12,2,1.994796447,4,1
Present,16,1,2.853619607,4,1
Present,8,1,0.712410126,4,1
Absent,16,2,1.959498812,4,1
Absent,12,2,2.288963262,4,1
Present,12,1,0.771252403,4,1
Present,8,1,1.077141165,4,1
Absent,16,2,2.288938063,4,1
Absent,16,2,2.088900741,4,1
Present,12,1,0.677128832,4,1
Absent,8,2,2.477137233,4,1
Present,16,1,1.818376637,4,1
Absent,8,2,1.830098645,4,1
Absent,16,2,1.84186681,4,1
Present,12,1,0.724194388,4,1
Absent,8,2,1.830130712,4,1
Absent,12,2,1.936103537,4,1
Present,16,1,1.735969129,4,1
Absent,12,2,1.806555597,4,1
Present,8,1,0.912412304,4,1
Present,12,1,1.171274891,4,1
Absent,8,2,2.559509325,4,1
Absent,8,1,1.712444616,4,0
Absent,12,2,1.877136726,4,1
Present,12,1,0.830081763,4,1
Absent,16,2,1.759518937,4,1
Present,8,1,0.830088267,4,1
Absent,8,2,1.441817636,4,1
Present,16,1,1.912448045,4,1
Present,8,1,1.324189343,4,1
Absent,12,2,1.935989033,4,1
Absent,12,2,1.947756243,4,1
Present,16,1,1.971278791,4,1
Present,12,1,0.747691847,4,1
Absent,8,2,1.794794159,4,1
Absent,16,2,2.300677218,4,1
Absent,12,2,2.288981106,4,1
Present,8,1,1.030075694,4,1
Absent,16,2,2.159519375,4,1
Absent,8,2,2.794796928,4,1
Present,12,1,1.065380852,4,1
Present,12,1,1.500761087,4,1
Absent,8,2,1.735987314,4,1
Present,12,1,1.606552855,4,1
Absent,16,1,2.288894418,4,0
Present,8,1,1.06538406,4,1
Present,16,1,1.347724061,4,1
Absent,16,2,2.453628704,4,1
Absent,12,2,3.288936591,4,1
Present,16,1,2.018318351,4,1
Present,8,1,1.277166998,4,1
Present,16,1,0.95947262,4,1
Present,8,1,1.171257411,4,1
Present,12,1,1.818327205,4,1
Absent,12,2,3.77131198,4,1
Present,12,1,1.406572303,4,1
Absent,8,2,1.900675587,4,1
Present,12,1,1.606560895,4,1
Absent,16,2,2.394803186,4,1
Absent,8,2,1.453636852,4,1
Present,8,1,0.794786866,4,1
Present,16,1,1.14780087,4,1
Present,16,1,0.900673712,4,1
Absent,12,2,1.806570035,4,1
Present,8,1,0.935956673,4,1
